id,frameIndex,eye.x,eye.y,eye.z,gaze.x,gaze.y,gaze.z,head.x,head.y,head.z,headpose.roll,headpose.pitch,headpose.yaw,speaking,action,vfoa_GT,target0.name,target0.x,target0.y,target0.z,target0.speaking,speech_state,turn_shift,delta_eye.x,delta_eye.y,delta_eye.z,delta_gaze.x,delta_gaze.y,delta_gaze.z,delta_head.x,delta_head.y,delta_head.z,delta_headpose.roll,delta_headpose.pitch,delta_headpose.yaw,turn_shift_in_next_15_frames
018PL-2_Applicant,0,0.029811725,0.036616087,0.0820009,0.048915684,-0.32352042,0.94495595,-0.18071792,0.08821352,-0.16818346,0.16693991,-0.088280976,-0.50098634,0,none:none,no_data,interviewer,0.63119835,0.13627811,2.0974116,0,silence,0,,,,,,,,,,,,,0
018PL-2_Applicant,1,0.029811725,0.036616087,0.0820009,0.15142965,-0.22763415,0.9619,-0.18167007,0.08749731,-0.16823675,0.1759104,-0.09559139,-0.4968259,0,none:none,no_data,interviewer,0.6222982,0.11758867,2.1013446,0,silence,0,0.0,0.0,0.0,0.102513966,0.09588626999999997,0.01694404999999999,-0.000952149999999985,-0.0007162100000000088,-5.328999999998363e-05,0.008970489999999998,-0.007310414000000001,0.0041604399999999875,0
018PL-2_Applicant,2,0.02981171,0.036616087,0.0820009,0.08089808,-0.313729,0.94605994,-0.18170772,0.08755008,-0.16817145,0.17462976,-0.09287644,-0.49080524,0,none:none,no_data,interviewer,0.61095965,0.12565675,2.1040614,0,silence,0,-1.4999999999043556e-08,0.0,0.0,-0.07053157,-0.08609484999999997,-0.015840059999999934,-3.765000000000018e-05,5.277000000000753e-05,6.529999999999037e-05,-0.0012806399999999996,0.0027149499999999938,0.006020660000000011,0
018PL-2_Applicant,3,0.02981174,0.0366161,0.08200088,0.09436867,-0.28588146,0.95360684,-0.18147106,0.08782727,-0.16780111,0.17876253,-0.08809266,-0.49506658,0,none:none,aversion,interviewer,0.62140024,0.13144407,2.100185,0,silence,0,2.999999999808711e-08,1.3000000000096268e-08,-2.000000000335067e-08,0.013470590000000005,0.027847540000000004,0.007546899999999912,0.00023665999999999965,0.0002771899999999966,0.0003703399999999968,0.004132770000000008,0.004783780000000001,-0.004261340000000002,0
018PL-2_Applicant,4,0.02981174,0.0366161,0.08200089,0.11551967,-0.23678719,0.9646692,-0.18158565,0.08740704,-0.16800468,0.17591819,-0.089697845,-0.4945816,0,none:none,aversion,interviewer,0.61969733,0.13007478,2.100713,0,silence,0,0.0,0.0,1.000000000861423e-08,0.021151000000000003,0.04909426999999997,0.011062360000000049,-0.00011458999999999775,-0.00042022999999999366,-0.00020356999999998626,-0.0028443400000000008,-0.001605184999999995,0.0004849799999999682,0
018PL-2_Applicant,5,0.029811695,0.036616087,0.082000904,0.14065227,-0.21920523,0.9654875,-0.18133765,0.0873533,-0.16751009,0.1713138,-0.090522416,-0.4956798,0,none:none,aversion,interviewer,0.62078595,0.13120759,2.1001055,0,silence,0,-4.5000000000600116e-08,-1.3000000000096268e-08,1.3999999992631018e-08,0.02513259999999999,0.017581960000000008,0.0008183000000000495,0.0002479999999999982,-5.3740000000010446e-05,0.0004945899999999892,-0.004604390000000014,-0.0008245709999999962,-0.0010981999999999936,0
018PL-2_Applicant,6,0.02981174,0.036616087,0.08200089,0.09498313,-0.2512356,0.96325433,-0.18135604,0.08733428,-0.16752477,0.17105915,-0.09089013,-0.49503174,0,none:none,aversion,interviewer,0.61880887,0.1300229,2.0994513,0,silence,0,4.5000000000600116e-08,0.0,-1.3999999992631018e-08,-0.04566914,-0.03203037,-0.0022331700000000065,-1.8390000000007012e-05,-1.9019999999994597e-05,-1.4679999999989146e-05,-0.00025464999999999516,-0.0003677140000000051,0.0006480600000000059,0
018PL-2_Applicant,7,0.029811695,0.036616087,0.082000904,0.09172052,-0.21891645,0.97142303,-0.18131523,0.087309465,-0.16749227,0.17025965,-0.09107614,-0.49622118,0,none:none,aversion,interviewer,0.62128854,0.13016593,2.0990975,0,silence,0,-4.5000000000600116e-08,0.0,1.3999999992631018e-08,-0.003262609999999999,0.03231914999999999,0.008168699999999918,4.081000000000223e-05,-2.4814999999997478e-05,3.249999999999087e-05,-0.0007994999999999808,-0.00018601000000000034,-0.001189439999999986,0
018PL-2_Applicant,8,0.029811725,0.036616087,0.082000904,0.12670639,-0.20847064,0.9697863,-0.18136886,0.087281324,-0.16751383,0.1701459,-0.09143791,-0.49514487,0,none:none,aversion,interviewer,0.6188077,0.1294235,2.0995407,0,silence,0,3.000000000155656e-08,0.0,0.0,0.03498587,0.01044581,-0.0016367299999999751,-5.3629999999998956e-05,-2.8141000000009297e-05,-2.15600000000038e-05,-0.00011375000000002355,-0.00036176999999999737,0.0010763099999999692,0
018PL-2_Applicant,9,0.02981171,0.036616087,0.08200091,0.051861614,-0.26495457,0.96286535,-0.181364,0.08728207,-0.16751194,0.17038852,-0.091389604,-0.4953777,0,none:none,aversion,interviewer,0.61910605,0.12916182,2.0987616,0,silence,0,-1.4999999999043556e-08,0.0,5.999999996841865e-09,-0.074844776,-0.05648392999999999,-0.006920950000000037,4.8599999999954235e-06,7.460000000097944e-07,1.8900000000043882e-06,0.00024261999999999895,4.830599999999796e-05,-0.00023282999999996168,0
